NAME,TEAM,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,OBP,SLG,AVG,GIDP,SAC,SF,BB,IBB,HBP,CS,GO,AO,G/F,SB%,TA,SSA
±i¥¿°¶,´I¨¹,99,399,350,31,54,103,81,19,1,2,130,54,12,0.374,0.371,0.294,5,1,2,41,0,5,4,114,80,1.425,0.75,0.734,619.29
ªL¯q¥þ,´I¨¹,95,388,349,54,45,110,76,26,0,8,160,54,2,0.366,0.458,0.315,8,0,7,27,3,2,1,98,91,1.077,0.667,0.782,905.19
ªL«É¿o,´I¨¹,77,215,189,23,19,49,40,8,0,1,60,30,5,0.304,0.317,0.259,8,8,4,14,0,0,3,59,50,1.18,0.625,0.523,454.26
¤_©sØP,´I¨¹,77,214,182,18,23,50,41,8,0,1,61,33,4,0.33,0.335,0.275,3,11,4,14,1,2,3,63,38,1.658,0.571,0.594,445.73
³¯³Í­Û,´I¨¹,71,151,129,17,29,33,26,4,1,2,45,28,2,0.322,0.349,0.256,1,8,1,11,0,2,3,38,30,1.267,0.4,0.6,425.81
­S°ê®f,´I¨¹,66,210,195,19,28,56,44,8,2,2,74,35,2,0.321,0.379,0.287,4,1,3,8,0,3,1,60,43,1.395,0.667,0.604,496.18
§õ©v½å,´I¨¹,66,127,111,10,17,27,23,4,0,0,31,25,10,0.306,0.279,0.243,3,3,2,10,0,1,0,32,28,1.143,1,0.598,324.24
°ª°ê½÷,´I¨¹,62,243,198,38,24,50,29,12,0,9,89,52,3,0.379,0.449,0.253,8,0,3,40,0,2,1,33,66,0.5,0.75,0.854,711.53
¤è§J°¶,´I¨¹,61,150,131,12,10,21,18,1,0,2,28,25,1,0.238,0.214,0.16,3,3,2,13,0,1,1,51,33,1.545,0.5,0.377,288.31
°ª°êÅï,´I¨¹,56,156,132,18,24,34,22,6,2,4,56,42,1,0.351,0.424,0.258,2,2,2,15,0,5,0,22,36,0.611,1,0.77,483.58
°ª§µ»ö,´I¨¹,53,152,134,19,20,34,26,6,0,2,46,16,4,0.297,0.343,0.254,7,7,2,6,0,3,0,45,37,1.216,1,0.551,434.73
¥ÓµqÞ³,´I¨¹,45,152,139,18,27,40,28,7,1,4,61,43,1,0.349,0.439,0.288,3,0,0,11,1,1,2,25,31,0.806,0.333,0.721,518.77
¤ý¥¿´Å,´I¨¹,32,142,122,16,28,43,34,6,3,0,55,18,2,0.412,0.451,0.352,2,6,1,12,0,1,3,39,21,1.857,0.4,0.833,487.46
½²¤Í¹F,´I¨¹,24,76,70,5,6,19,12,7,0,0,26,22,1,0.264,0.371,0.271,3,4,2,0,0,0,0,10,16,0.625,1,0.5,322.43
ªL«Â§Ê,´I¨¹,18,31,30,0,4,7,6,1,0,0,8,4,1,0.258,0.267,0.233,3,0,0,1,0,0,1,15,4,3.75,0.5,0.37,241.33
§d©v®m,´I¨¹,18,33,28,1,5,6,5,1,0,0,7,11,0,0.313,0.25,0.214,0,1,0,2,1,1,0,6,4,1.5,0,0.5,226.29
¥Ûµ¾¦t,´I¨¹,14,25,19,2,1,4,4,0,0,0,4,6,0,0.348,0.211,0.211,0,2,0,3,0,1,1,4,3,1.333,0,0.5,224.53
³¯«~±¶,´I¨¹,112,485,415,46,75,122,91,19,6,6,171,77,10,0.368,0.412,0.294,6,12,6,48,3,1,5,103,115,0.896,0.667,0.766,814.98
½±´¼½å,´I¨¹,110,467,429,89,63,142,88,34,2,18,234,73,2,0.373,0.545,0.331,11,0,6,27,3,2,1,116,102,1.137,0.667,0.896,1370
ªL­õÞ±,´I¨¹,106,441,388,59,57,108,74,21,3,10,165,66,18,0.345,0.425,0.278,12,3,7,31,2,10,4,91,126,0.722,0.818,0.764,938.35
­Jª÷Às,´I¨¹,100,422,385,80,68,144,103,26,1,14,214,40,7,0.414,0.556,0.374,8,4,4,25,3,1,4,113,91,1.242,0.636,0.988,1268.03
±i·çÅï,´I¨¹,9,17,16,2,3,5,4,0,0,1,8,4,0,0.353,0.5,0.312,0,0,0,1,0,0,0,5,2,2.5,0,0.818,350.5
ªL©ô½Ã,´I¨¹,8,10,9,0,0,0,0,0,0,0,0,5,1,0.1,0,0,0,0,0,0,1,0,0,2,2,1,1,0.222,0
±i«Ø»Ê,´I¨¹,8,16,13,0,0,1,1,0,0,0,1,6,0,0.25,0.077,0.077,0,0,0,1,0,2,0,2,4,0.5,0,0.333,77.92
ªLÞ³®¦,´I¨¹,7,24,20,2,2,6,5,1,0,0,7,6,0,0.348,0.35,0.3,0,1,1,2,0,0,0,4,5,0.8,0,0.643,317
ªL§Ó¬v,´I¨¹,2,5,5,1,2,2,2,0,0,0,2,0,0,0.4,0.4,0.4,0,0,0,0,0,0,0,3,0,0,0,0.667,407
³¯¶Ô©v,´I¨¹,2,3,3,0,0,1,1,0,0,0,1,0,0,0.333,0.333,0.333,0,0,0,0,0,0,0,2,0,0,0,0.5,334.33
