NAME,TEAM,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,GIDP,AVG,SAC,SF,BB,IBB,HBP,SO,SB,CS,SB%,OBP,SLG,TA,SSA,
±i¥¿°¶,´I¨¹,36,139,122,9,17,32,25,6,1,0,40,1,0.262,0,0,15,0,2,23,1,2,0.333,0.353,0.328,0.624,347,
ªL¯q¥þ,´I¨¹,33,136,121,15,15,37,28,7,0,2,50,2,0.306,0,2,11,1,1,20,2,0,1,0.368,0.413,0.756,471,
ªL«É¿o,´I¨¹,24,78,68,13,9,17,16,1,0,0,18,2,0.25,6,1,3,0,0,8,3,2,0.6,0.278,0.265,0.436,333,
¤_©sØP,´I¨¹,26,72,61,6,7,20,18,1,0,1,24,0,0.328,5,1,4,1,0,11,3,1,0.75,0.373,0.393,0.762,402,
³¯³Í­Û,´I¨¹,24,55,48,9,10,11,9,1,0,1,15,1,0.229,2,1,3,0,1,11,1,0,1,0.283,0.312,0.526,309,
­S°ê®f,´I¨¹,23,61,57,2,8,18,14,2,1,1,25,2,0.316,1,0,2,0,1,11,1,0,1,0.35,0.439,0.707,371,
§õ©v½å,´I¨¹,23,34,28,4,3,5,4,1,0,0,6,0,0.179,2,1,2,0,1,6,2,0,1,0.25,0.214,0.478,205,
°ª°ê½÷,´I¨¹,19,70,59,12,10,19,11,4,0,4,35,0,0.322,0,1,9,0,1,17,1,0,1,0.414,0.593,1.15,497,
¤è§J°¶,´I¨¹,18,48,41,3,2,6,6,0,0,0,6,2,0.146,1,0,6,0,0,5,1,0,1,0.255,0.146,0.351,167,
°ª°êÅï,´I¨¹,18,62,52,7,10,14,10,2,0,2,22,0,0.269,1,1,4,0,4,16,1,0,1,0.361,0.423,0.816,366,
°ª§µ»ö,´I¨¹,15,48,44,6,4,12,9,2,0,1,17,1,0.273,0,1,3,0,0,5,1,0,1,0.312,0.386,0.636,340,
¥ÓµqÞ³,´I¨¹,16,48,43,7,6,13,8,3,0,2,22,2,0.302,0,0,4,1,0,16,1,0,1,0.375,0.512,0.875,399,
¤ý¥¿´Å,´I¨¹,10,48,43,8,8,15,12,1,2,0,20,1,0.349,3,0,2,0,0,5,2,0,1,0.378,0.465,0.828,409,
½²¤Í¹F,´I¨¹,7,25,25,2,3,7,4,3,0,0,10,2,0.28,0,0,0,0,0,6,0,0,0,0.28,0.4,0.5,300,
ªL«Â§Ê,´I¨¹,6,8,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0.125,0,0.1,0,
§d©v®m,´I¨¹,5,5,3,0,1,1,1,0,0,0,1,0,0.333,0,0,2,0,0,1,0,0,0,0.6,0.333,1.5,334,
¥Ûµ¾¦t,´I¨¹,4,7,5,1,0,1,1,0,0,0,1,0,0.2,0,0,1,0,1,2,0,0,0,0.429,0.2,0.75,206,
³¯«~±¶,´I¨¹,40,170,148,12,22,45,36,7,1,1,57,2,0.304,3,2,16,1,0,34,4,5,0.444,0.371,0.385,0.709,441,
½±´¼½å,´I¨¹,35,145,128,18,25,41,24,13,0,4,66,5,0.32,0,0,14,2,1,21,0,0,0,0.4,0.516,0.902,556,
ªL­õÞ±,´I¨¹,37,154,132,27,22,43,27,10,1,5,70,5,0.326,2,4,9,1,6,23,4,1,0.8,0.388,0.53,0.947,631,
­Jª÷Às,´I¨¹,34,145,131,32,28,45,28,8,0,9,80,3,0.344,0,3,7,3,1,17,4,2,0.667,0.386,0.611,1.044,764,
±i·çÅï,´I¨¹,3,6,5,0,1,3,3,0,0,0,3,0,0.6,0,0,1,0,0,0,0,0,0,0.667,0.6,2,603,
ªL©ô½Ã,´I¨¹,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.25,0,
±i«Ø»Ê,´I¨¹,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ªLÞ³®¦,´I¨¹,3,9,8,0,2,2,1,1,0,0,3,0,0.25,0,0,1,0,0,2,0,0,0,0.333,0.375,0.667,253,
ªL§Ó¬v,´I¨¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
³¯¶Ô©v,´I¨¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
