投手,投手隊伍,四壞,觸身,全壘打,三振,安打,飛球,滾地球,打數,打擊率,出局數,滾飛比
林樺慶,Lamigo桃猿,0,0,1,1,7,2,2,13,0.615,5,0.677
陳禹勳,Lamigo桃猿,1,0,0,0,8,1,0,9,0.889,1,0.800
王溢正,Lamigo桃猿,1,0,1,1,8,4,7,21,0.429,12,0.834
吳丞哲,Lamigo桃猿,2,0,0,1,4,2,4,11,0.364,7,1.627
黃子鵬,Lamigo桃猿,1,0,0,2,1,1,1,5,0.200,4,1.059
史博威,Lamigo桃猿,0,0,0,1,2,0,4,7,0.286,5,1.720
蘇俊羽,Lamigo桃猿,0,0,0,2,6,0,2,10,0.600,4,0.914
尼克斯,Lamigo桃猿,4,0,0,0,5,3,8,16,0.313,11,1.684
鄭承浩,Lamigo桃猿,0,0,0,0,0,0,1,1,0.000,1,0.222
王躍霖,Lamigo桃猿,1,0,0,0,1,0,1,2,0.500,1,0.714
克恩三世,Lamigo桃猿,0,0,0,0,4,1,2,7,0.571,3,1.789
林國裕,Lamigo桃猿,0,0,0,1,0,3,2,6,0.000,6,0.538
黃偉晟,Lamigo桃猿,0,0,0,0,2,0,1,3,0.667,1,2.000
朱俊祥,Lamigo桃猿,0,0,1,1,1,1,0,4,0.500,2,0.760
道恩斯,Lamigo桃猿,0,0,0,1,2,1,5,9,0.222,7,1.548
林柏佑,Lamigo桃猿,0,0,0,0,1,0,0,1,1.000,0,1.029
陳敏賜,Lamigo桃猿,0,0,0,0,3,0,0,3,1.000,0,1.625
洪聖欽,Lamigo桃猿,0,0,0,0,1,1,2,4,0.250,3,1.065
紐維拉,中信兄弟,0,1,1,1,3,4,1,10,0.400,6,0.658
艾迪頓,中信兄弟,5,0,1,4,3,7,4,19,0.211,15,1.417
萊福力,中信兄弟,0,0,2,2,5,4,8,21,0.333,14,1.554
謝榮豪,中信兄弟,0,0,0,1,0,1,0,2,0.000,2,0.476
陳琥,中信兄弟,1,0,1,1,3,1,6,12,0.333,8,0.707
鄭凱文,中信兄弟,0,0,1,0,3,5,1,10,0.400,6,1.044
周磊,中信兄弟,1,0,0,0,2,1,2,5,0.400,3,1.714
陳柏豪,中信兄弟,0,0,0,0,0,3,2,5,0.000,5,1.238
彭識穎,中信兄弟,0,0,0,0,2,0,0,2,1.000,0,2.250
官大元,中信兄弟,0,0,1,0,0,2,1,4,0.250,3,0.946
鄭錡鴻,中信兄弟,0,0,0,1,3,0,2,6,0.500,3,1.528
李振昌,中信兄弟,0,0,0,0,0,2,2,4,0.000,4,1.042
吳哲源,中信兄弟,0,0,0,0,0,2,0,2,0.000,2,0.543
邱品睿,中信兄弟,0,0,0,0,0,1,1,2,0.000,2,1.500
楊志龍,中信兄弟,0,0,2,2,3,0,1,8,0.625,3,1.167
賽格威,中信兄弟,1,0,0,1,4,2,2,9,0.444,5,1.216
洪宸宇,中信兄弟,1,0,0,0,1,0,1,2,0.500,1,0.857
蔡齊哲,中信兄弟,1,0,0,3,0,2,2,7,0.000,7,0.915
張凱倫,中信兄弟,0,0,0,1,0,0,0,1,0.000,1,0.688
王鴻程,中信兄弟,0,0,0,0,1,0,0,1,1.000,0,2.000
瑞安,統一7-ELEVEn獅,1,0,0,3,5,5,6,19,0.263,14,1.035
王鏡銘,統一7-ELEVEn獅,0,0,0,0,2,2,3,7,0.286,5,1.360
江辰晏,統一7-ELEVEn獅,0,0,0,3,2,8,2,15,0.133,13,0.636
黃竣彥,統一7-ELEVEn獅,0,0,0,0,2,2,1,5,0.400,3,0.959
安狄,統一7-ELEVEn獅,1,0,0,0,1,0,0,1,1.000,0,0.886
傅于剛,統一7-ELEVEn獅,0,0,0,0,1,2,1,4,0.250,3,0.743
施子謙,統一7-ELEVEn獅,2,0,0,1,5,3,4,13,0.385,8,1.149
林子崴,統一7-ELEVEn獅,0,0,0,0,0,1,1,2,0.000,2,1.000
陳韻文,統一7-ELEVEn獅,0,0,1,1,1,2,0,5,0.400,3,1.088
羅里奇,統一7-ELEVEn獅,1,0,1,3,2,3,7,16,0.188,13,1.245
邱浩鈞,統一7-ELEVEn獅,1,0,0,0,1,2,3,6,0.167,5,1.442
林威志,統一7-ELEVEn獅,0,0,0,0,0,0,1,1,0.000,1,3.167
江承峰,統一7-ELEVEn獅,0,0,0,0,1,0,1,2,0.500,1,1.053
洪心騏,統一7-ELEVEn獅,0,0,0,0,2,4,2,8,0.250,6,0.633
王玉譜,統一7-ELEVEn獅,1,0,0,0,1,2,1,4,0.250,3,0.925
賴泊凱,統一7-ELEVEn獅,0,0,0,1,0,1,0,2,0.000,2,1.250
馬丁尼茲,統一7-ELEVen獅,0,0,0,1,2,0,6,9,0.222,7,1.100
陽建福,統一7-ELEVen獅,0,0,0,0,0,0,1,1,0.000,1,1.923
鄭鈞仁,統一7-ELEVEn獅,0,0,0,0,1,0,1,2,0.500,1,1.167
林其緯,統一7-ELEVEn獅,1,0,1,0,0,0,0,1,1.000,0,0.800
