NAME,TEAM,G,GS,GR,CG,SHO,NBB,W,L,SV,BS,HLD,IP,WHIP,ERA,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,AO,G/F
¿àÂE¸Û,´I¨¹,63,0,63,0,0,0,2,4,0,1,19,56,1.34,3.54,248,938,58,5,17,2,1,40,5,0,28,22,78,50,1.56
­ÙºÖ¼w,´I¨¹,44,0,44,0,0,0,1,1,13,0,9,42,1.1,3,168,667,39,3,7,1,0,47,0,0,14,14,28,44,0.636
±i¯Õ»¨,´I¨¹,42,0,42,0,0,0,1,3,1,2,7,36.1,1.65,5.2,175,649,53,7,7,6,4,27,3,0,25,21,33,45,0.733
ªL±á¾ì,´I¨¹,41,0,41,0,0,0,1,3,1,3,5,43,1.26,5.86,183,666,45,6,9,0,4,22,2,0,32,28,45,58,0.776
³¢ªl§Ó,´I¨¹,37,0,37,0,0,0,4,2,0,5,11,34,1.32,3.71,146,614,25,3,20,0,1,44,3,0,17,14,29,27,1.074
¥îÅM,´I¨¹,28,27,1,1,0,1,14,10,0,0,0,169,1.21,3.25,696,2573,180,9,25,1,4,126,6,0,79,61,203,155,1.31
Ã¹¤O,´I¨¹,26,26,0,0,0,0,10,8,0,0,0,161,1.2,3.47,664,2463,177,15,16,2,3,157,8,0,73,62,173,126,1.373
³¯ÂE¤å,´I¨¹,24,7,17,0,0,0,3,4,1,0,4,50.2,1.6,4.62,236,912,54,10,27,1,1,48,2,0,34,26,50,55,0.909
ªL·Ô²M,´I¨¹,24,5,19,0,0,0,1,2,0,2,2,41,1.68,5.27,191,746,50,1,19,0,2,27,3,0,30,24,30,62,0.484
Ã¹¹Å¤¯,´I¨¹,23,0,23,0,0,0,3,1,0,4,0,18.1,2.18,8.35,96,341,29,1,11,2,2,5,2,0,19,17,24,20,1.2
ªL¬ý»¨,´I¨¹,22,0,22,0,0,0,1,1,5,0,2,20,1.15,4.05,81,350,16,2,7,0,1,17,1,0,10,9,25,15,1.667
¶À¥ç§Ó,´I¨¹,22,11,11,0,0,0,4,5,1,0,1,76.1,1.73,5.66,353,1276,106,5,26,0,4,36,5,0,53,48,98,78,1.256
¥¬¾|´µ,´I¨¹,20,20,0,0,0,0,2,9,0,0,0,102.1,1.62,5.72,466,1808,126,10,40,0,9,90,2,0,74,65,93,106,0.877
Ã¹°êµØ,´I¨¹,14,0,14,0,0,0,2,1,0,0,1,13,1.46,5.54,58,233,15,2,4,0,1,12,0,0,11,8,10,14,0.714
³¯©ú°a,´I¨¹,12,0,12,0,0,0,0,1,0,0,0,13,1.62,4.85,62,238,14,1,7,0,1,9,1,0,8,7,9,22,0.409
Ã¹µØ­³,´I¨¹,11,0,11,0,0,0,0,0,0,0,1,7.2,2.61,9.39,45,191,13,0,7,0,2,11,0,0,9,8,6,6,1
±iµ¤Às,´I¨¹,11,0,11,0,0,0,0,0,0,0,1,11,1.55,5.73,51,219,9,1,8,0,1,10,1,0,7,7,9,13,0.692
½²©ú®Ê,´I¨¹,10,3,7,0,0,0,2,1,0,0,0,26,1.81,6.92,123,444,36,5,11,1,0,15,2,0,22,20,26,34,0.765
­S¥É¬ê,´I¨¹,9,0,9,0,0,0,0,0,0,0,0,9.2,2.07,10.24,50,195,14,3,6,0,0,4,0,0,15,11,13,13,1
³¯¥KªB,´I¨¹,7,6,1,0,0,0,0,2,0,1,0,27.1,1.79,7.24,129,476,38,4,11,0,2,13,3,0,27,22,39,26,1.5
´^¥@ªN,´I¨¹,7,0,7,0,0,0,0,0,0,0,0,10.2,1.31,5.91,45,180,7,2,7,0,0,9,0,0,7,7,9,13,0.692
³ìµn,´I¨¹,7,6,1,0,0,0,2,5,0,0,0,37.2,1.65,5.97,169,614,55,3,7,0,0,31,2,0,29,25,42,28,1.5
ªL§JÁ¾,´I¨¹,6,0,6,0,0,0,0,0,0,1,0,6,2.5,9,34,127,13,2,2,0,0,2,2,0,9,6,10,6,1.667
§d¥@»¨,´I¨¹,5,4,1,0,0,0,1,0,0,0,0,22,1.14,1.64,85,368,17,2,8,0,0,17,1,0,5,4,17,26,0.654
ªL¬F½å,´I¨¹,5,5,0,0,0,0,0,3,0,0,0,16.1,2.02,6.61,85,348,22,1,11,0,2,14,0,0,14,12,18,18,1
¼Ú®Ñ¸Û,´I¨¹,5,0,5,0,0,0,0,0,0,1,0,5.1,2.06,3.38,24,104,6,0,5,0,0,3,0,0,2,2,4,4,1
³¯³Í­Û,´I¨¹,2,0,2,0,0,0,0,0,0,0,0,2,2.5,9,11,38,5,0,0,0,0,1,0,0,2,2,2,3,0.667
¶À³Ó¶¯,´I¨¹,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,8,2,0,0,0,1,0,0,0,4,3,1,0,0
